sep=,,,
_ITEM_MINE128_NAME,Мина версии 128,Mine v. 128,
_ITEM_Q023_KEY_DESCRIPTION,Им можно чесать спину.,You can scratch your back with it.,
_ITEM_Q028_CERTIFICATE_NAME,Сертификат охранника,Security guard certificate,
_ITEM_Q028_CERTIFICATE_DESCRIPTION,Выглядит несолидно.,Looks nerdy.,
_ITEM_Q034FUEL_NAME,_ITEM_Q034FUEL_NAME,Fuel can,
_ITEM_Q034FUEL_DESCRIPTION,_ITEM_Q034FUEL_DESCRIPTION,"If you shake it, you hear the gas gurgling at the bottom.",
_ITEM_Q038_WHEELS_FOR_BANDITS_NAME,Колеса от повозки,Elite cart wheels,
_ITEM_Q038_WHEELS_FOR_BANDITS_DESCRIPTION,"Круглые, как луна",Valuable item for cart owners,
_ITEM_Q039_MONETS_FOR_BANDITS_NAME,Медяки бедняков,Copper coins,
_ITEM_Q038_MONETS_FOR_BANDITS_DESCRIPTION,"Эти деньги последнее, что у них было",Everything the poor earned...,
_ITEM_Q040_CARGO_FOR_BANDITS_NAME,Посылка с тайным грузом,Parcel for a bandit,
_ITEM_Q040_CARGO_FOR_BANDITS_DESCRIPTION,Слышен звук разбитого стекла. Надо было нести аккуратнее,A valuable parcel containing a secret item!,
_ITEM_Q041_WINE_FOR_SPIDER_NAME,Пиратское вино,Pirate wine,
_ITEM_Q041_WINE_FOR_SPIDER_DESCRIPTION,"Видавшая виды бутылка снаружи, а внутри что-то недобро булькает",So tasty,
_ITEM_Q041_SUIT_FOR_SPIDER_NAME,Шкура белого рогача,White stag's skin,
_ITEM_Q041_SUIT_FOR_SPIDER_DESCRIPTION,"Великолепного качества и мягкая, как одуванчик",Warm and white,
_ITEM_Q045_EQUIPMENT_FOR_BANDITS_NAME,Крутая снаряга,Bandit outfit,
_ITEM_Q045_EQUIPMENT_FOR_BANDITS_DESCRIPTION,Самое оно для грабежей и бесчинств,An excellent choice for looting and misbehaving.,
_ITEM_Q047_SILVERHAT_NAME,Шапочка из фольги,Tin Foil Cap,
_ITEM_Q047_SILVERHAT_DESCRIPTION,Говорят она снимает блок с разума,A great gift for paranoid friends and family members.,
_ITEM_Q048_EMPTYBOTTLE_NAME,Пустая бутылка,Empty bottle,
_ITEM_Q048_EMPTYBOTTLE_DESCRIPTION,"Такое ощущение, что я ее где-то видел.",A perfect container for liquids.,
_ITEM_Q048_FULLBOTTLE_NAME,Бутылка с водой из колодца,Bottle of well water,
_ITEM_Q048_FULLBOTTLE_DESCRIPTION,"Кажется этим колодцем никто давно не пользовался, вода грязная.",Muddy and tastes yucky. Drink only in extreme circumstances.,
_ITEM_Q048_FAKEMONEY_NAME,Пластиковые деньги,Plastic money,
_ITEM_Q048_FAKEMONEY_DESCRIPTION,Скучная игрушка,Beautiful and totally useless.,
_ITEM_Q050_FAKE_BLUE_DRONT_NAME,Поддельный синий дронт,Fake blue dodo,
_ITEM_Q050_FAKE_BLUE_DRONT_DESCRIPTION,Эта птица имеет благородный окрас,Leaves spots of blue paint but looks nice.,
_ITEM_Q051_BLUEBERRY_NAME,Синяя ягодка,Blue berry,
_ITEM_Q051_BLUEBERRY_DESCRIPTION,"Такая же как красная, только выбрала другой путь","The same as a red bery, it just chose to do its own thing.",
_ITEM_Q051_BLUE_PAINT_NAME,Банка синей краски,Jar of blue paint,
_ITEM_Q051_BLUE_PAINT_DESCRIPTION,На вкус как варенье,Tastes like jam,
_ITEM_Q052_LEGENDARY_WEAPON_NAME,Кистень Вонана Карвара,Sword of Bonan the Carbarian,
_ITEM_Q052_LEGENDARY_WEAPON_DESCRIPTION,Ржавый и почему-то липкий,"Rusty, heavy, epic.",
_ITEM_Q053_INSTRUMENTS_NAME,Редкий набор инструментов,Rare tool set,
_ITEM_Q053_INSTRUMENTS_DESCRIPTION,С помощью них можно создавать механические ШЕДЕВРЫ,Excellent for repairing old robots.,
_ITEM_Q054_CLEAR_OIL_NAME,Чистое машинное масло,Engine oil,
_ITEM_Q054_CLEAR_OIL_DESCRIPTION,Вы смотрите на блестящее машинное масло и видите свое отражение,As pure as the tear of a mechanical baby.,
_ITEM_Q055_NEW_DETAILS_NAME,Детали от робота,Robot parts,
_ITEM_Q055_NEW_DETAILS_DESCRIPTION,С этих железяк капает черная безжизненная жижа,Black lifeless goo that drips from these metal things.,
_ITEM_Q059_OIL_NAME,Машинное масло,Engine oil,
_ITEM_Q059_OIL_DESCRIPTION,"Если его выпить, непроизвольно выкрикиваешь - ""ЗИППА-ДИ-ДУДДА""!","If one drinks some, he starts shouting various words.",
_ITEM_Q060_JOURNAL_NAME,Журнал для Вонана,Magazine for Bonan,
_ITEM_Q060_JOURNAL_DESCRIPTION,Я даже не хочу заглядывать внутрь,I didn’t even look inside.,
_ITEM_Q063_LOCKPICKS_NAME,Электронные отмычки,Electronic keys,
_ITEM_Q063_LOCKPICKS_DESCRIPTION,На этом странном приборе моргает красная лампочка... Так и должно быть?,With a blinking red lamp,
_ITEM_Q064_RESIN_BOOTS_NAME,Резиновые сапоги,Rain boots,
_ITEM_Q064_RESIN_BOOTS_DESCRIPTION,"Когда ходишь в этих сапогах по земле, они прикольно скрипят",Waterproof and nice looking,
_ITEM_Q065_SUPER_OIL_NAME,Супер масло,Superoil,
_ITEM_Q065_SUPER_OIL_DESCRIPTION,"Черное, как космос",Black,
_ITEM_Q070_RUSTY_PARTS_NAME,Ржавые запчасти,Rusty parts,
_ITEM_Q070_RUSTY_PARTS_DESCRIPTION,"Кажется этого голиафа забросили очень давно, он обрел разум и заржавел.",Goliath with Artifical Intelligence,
_ITEM_Q073_ORANGE_CHIPS_NAME,Оранжевые микросхемы,Orange chips,
_ITEM_Q073_ORANGE_CHIPS_DESCRIPTION,"Знающие люди готовы за них хорошо заплатить, а для вас это просто мусор...","Knowledgeable people are willing to pay well for them, but for you it's just a waste ...",
_ITEM_Q074_WHITE_DRINK_NAME,"Бутылка виски ""Белая крыса""","A bottle of whiskey ""white rat""",
_ITEM_Q074_WHITE_DRINK_DESCRIPTION,Ограниченная партия,Restricted party,
_ITEM_Q076_UNDER_DOOR_KEY_NAME,Ключ от двери,Key from door,
_ITEM_Q076_UNDER_DOOR_KEY_DESCRIPTION,Наверняка открывает какую-то дверь в подвале,Surely it opens a door in the basement,
_ITEM_Q076_GLOWING_HORN_NAME,Светящиеся рога,Glowing horn,
_ITEM_Q076_GLOWING_HORN_DESCRIPTION,"Трухлявые старые рога, покрашенные светящейся краской","Rotten old horns, painted with luminous paint",
_ITEM_Q077_FOX_ELIXIR_RECIPE_NAME,Рецепт зелья транса,Recipe trance potion,
_ITEM_Q077_FOX_ELIXIR_RECIPE_DESCRIPTION,"Шершавый свиток приятно держать в руках, тут явно замешана магия...","Rough scroll pleasure to hold in their hands, there is clearly implicated in the magic ...",
_ITEM_Q079_HEART_OF_SPIRIT_NAME,Сердце духа земли,The heart of the land of the spirit,
_ITEM_Q079_HEART_OF_SPIRIT_DESCRIPTION,В этом сердце еще теплится жизнь и вы это чувствуете,This heart is still a glimmer of life and you feel it,
_ITEM_Q080_HEART_OF_BARS_NAME,Сердце барса,Heart leopard,
_ITEM_Q080_HEART_OF_BARS_DESCRIPTION,"Кусок еще теплого, кровавого мяса...","A piece of still warm, bloody flesh ...",
_ITEM_Q083_EMPTY_FLASK_NAME,Пустая фляга,Empty jar,
_ITEM_Q083_EMPTY_FLASK_DESCRIPTION,"Эта фляга совершенно пуста, ни капли влаги","This jar is completely empty, no water droplets",
_ITEM_Q083_FLASK_WITH_WATER_NAME,Полная фляга,Full jar,
_ITEM_Q083_FLASK_WITH_WATER_DESCRIPTION,Фляга наполнена водой до самых краев,The flask is filled with water to the brim,
_ITEM_WEAPONMAKER_BUILDING,_ITEM_WEAPONMAKER_BUILDING,_ITEM_WEAPONMAKER_BUILDING,
_ITEM_MAINBUILDING_BUILDING,Машина перемещений,Teleport device,
_ITEM_MECHMAKER_BUILDING,Сборщик мехов,Constructor,
_ITEM_WORKBENCH_BUILDING,Верстак,Workbench,
_ITEM_CHESTBASE_BUILDING,Сундук,Chest,
_ITEM_MECHGARAGE_BUILDING,Стойка для Голиафа,Goliath storage,
_ITEM_WOODMECH_1_NAME,Деревянный мех,Wood Goliath,
_ITEM_WOODMECH_1_DESCRIPTION,"Ловкий и быстрый робот.  Если он и не сможет победить врага, то точно сумеет убежать от него.","Dexterous and quick. Its attacks are weak, it constantly breaks down and burns nicely.",
_ITEM_IRONMECH_1_NAME,Железный мех,Iron Goliath,
_ITEM_IRONMECH_1_DESCRIPTION,Железная машина для убийств с встроенным подогревом.,Iron killing machine with built-in heatup.,
_ITEM_STONEMECH_1_NAME,Каменный мех,Stone Goliath,
_ITEM_STONEMECH_1_DESCRIPTION,"Сильный, мощный и внушительный робот с нежной и ранимой душой.","It’s something between a sledgehammer and an armored train. Indestructible, but very slow.",
_ITEM_BERRY_NAME,Ягода,Berries,
_ITEM_BERRY_DESCRIPTION,"Вкусная, спелая ягода","Unknown, but very tasty berries.",
_ITEM_FEATHER_NAME,Перо,Feather,
_ITEM_FEATHER_DESCRIPTION,Это перо я вырвал  из огромной курицы!,Property of a giant bird.,
_ITEM_GLUE_NAME,Клей,Glue,
_ITEM_GLUE_DESCRIPTION,Клей - надежное средство что-бы склеить собственные пальцы.,A good means for bonding someone’s fingers.,
_ITEM_LEAF_NAME,Лист,Leaf,
_ITEM_LEAF_DESCRIPTION,"Лист растения, надеюсь не ядовитый.","A plant leaf, not a poisoned one.",
_ITEM_METALGEAR_NAME,Железная шестерня,Iron gear,
_ITEM_METALGEAR_DESCRIPTION,Железная шестерня. Подойдет для сложных механизмов.,Part of complex mechanisms.,
_ITEM_MUCUS_NAME,Слизь,Mucus,
_ITEM_MUCUS_DESCRIPTION,Липкая слизь.,Sticky mucus.,
_ITEM_MUSHROOM_NAME,Гриб,Mushroom,
_ITEM_MUSHROOM_DESCRIPTION,С виду сьедобный гриб.,Delicious and good for your health. Maybe...,
_ITEM_POISON_NAME,Отвар,Brew,
_ITEM_POISON_DESCRIPTION,"Лечебный отвар. Ужасный вкус, применять только в крайнем случае.","Healing brew, tastes horrible, apply in case of emergency.",
_ITEM_POLE_NAME,Шест,Pole,
_ITEM_POLE_DESCRIPTION,Прочный шест. Две ветки прочней чем одна! Примерно раза в два.,A long stick of two twigs and a rope.,
_ITEM_ROCK_NAME,Камень,Stone,
_ITEM_ROCK_DESCRIPTION,Тяжелый булыжник. Без него никак не обойтись.,A heavy cobblestone. A multipurpose item.,
_ITEM_IRONORE_NAME,Железная руда,Metal ore,
_ITEM_IRONORE_DESCRIPTION,"Железная руда, ее можно переплавить в слиток.",One can make an iron bar of it.,
_ITEM_SALVE_NAME,Мазь,Ointment,
_ITEM_SALVE_DESCRIPTION,"Мазь прекрасно заживляет раны, побочных эффектов пока не выявлено.","A perfect treatment for healing wounds, no side effects found... yet.",
_ITEM_TIMBER_NAME,Бревно,Log,
_ITEM_TIMBER_DESCRIPTION,Из этого бревна я могу сделать много разных вещей.,The former tree that is even more useful than before.,
_ITEM_TWIG_NAME,Ветка,Twig,
_ITEM_TWIG_DESCRIPTION,Очень хлесткая ветка. Подойдет для многих рецептов.,A very biting twig. A useful material.,
_ITEM_AMULET_OF_STRENGTH_NAME,Амулет силы,Power amulet,
_ITEM_AMULET_OF_STRENGTH_DESCRIPTION,Таинственный и могучий амулет. Понятия не имею как он работает.,A mysterious and mighty amulet. I have no idea how it works.,
_ITEM_CHARCOAL_NAME,Уголь,Coal,
_ITEM_CHARCOAL_DESCRIPTION,"Черный уголь, может все перепачкать сажей.",Black coal can blacken everything with soot.,
_ITEM_CLUTCH_NAME,Когти,Claws,
_ITEM_CLUTCH_DESCRIPTION,Длинные когти убийственной остроты.,Long and deadly sharp claws.,
_ITEM_IRON_INGOT_NAME,Слиток железа,Iron bar,
_ITEM_IRON_INGOT_DESCRIPTION,Тяжелый и прочный слиток - прекрасное вложение моей руды.,Perfect for crafting durable metal objects.,
_ITEM_PLANK_NAME,Доска,Plank,
_ITEM_PLANK_DESCRIPTION,Доска. Возможно из ценных пород древесины.,"Perhaps of fine wood (actually, not).",
_ITEM_ROPE_NAME,Веревка,Rope,
_ITEM_ROPE_DESCRIPTION,Веревка - незаменимая вещь в походе.,An irreplaceable thing in any trip.,
_ITEM_SKIN_NAME,Шкуры,Skins,
_ITEM_SKIN_DESCRIPTION,"Шкуры животных,  из них можно сделать кожанные ремни.","Skins of different animals, you can make excellent belts of them.",
_ITEM_TRAP_NAME,Ловушка,Trap,
_ITEM_TRAP_DESCRIPTION,Хитрая ловушка для мелких животных.,Tricky trap for small animals.,
_ITEM_CROSSBOWTURRET_NAME,Арбалетная турель,crossbow turret,
_ITEM_CROSSBOWTURRET_DESCRIPTION,Мощная деревянная оборонная установка,Powerful wooden defense installation,
_ITEM_GUNTURRET_NAME,Пушечная турель,gun turret,
_ITEM_GUNTURRET_DESCRIPTION,Мощная ядерная оборонная установка,Powerful defense nuclear plant,
_ITEM_GRENADE,Граната,Grenade,
_ITEM_GRENADE_DESCRIPTION,Описание гранаты,Grenade description,
_ITEM_TRAPBERRY_NAME,Ловушка с ягодой,Trap with berries,
_ITEM_TRAPBERRY_DESCRIPTION,Ловушка с приманкой из ягоды.,Trap with berries inside.,
_ITEM_TURRET_NAME,Турель,Tourelle,
_ITEM_TURRET_DESCRIPTION,Девайс. Подходит для обороны базы,Device. Suitable for base defense,
_ITEM_RABBITENTITY_NAME,Кролик,Rabbit,
_ITEM_RABBITENTITY_DESCRIPTION,Милый пушистый кролик.,A cute furry rabbit.,
_ITEM_RABBITPETENTITY_NAME,Прирученный черный кролик.,Tamed black rabbit,
_ITEM_RABBITPETENTITY_DESCRIPTION,Мой ручной кролик.,My tamed rabbit.,
_ITEM_RABBITBLACKENTITY_NAME,Черный кролик,Black rabbit,
_ITEM_RABBITBLACKENTITY_DESCRIPTION,Милый пушистый кролик,A cute furry rabbit.,
_ITEM_RABBITBLACKPETENTITY_NAME,Прирученный черный кролик.,Tamed black rabbit.,
_ITEM_RABBITBLACKPETENTITY_DESCRIPTION,Мой ручной кролик. Очень милый питомец.,My tamed rabbit. A very cute pet.,
_ITEM_DRONTENTITY_NAME,Дронт,Dodo,
_ITEM_DRONTENTITY_DESCRIPTION,Странная перепуганная курица.,Strange and scared bird.,
_ITEM_DRONTPETENTITY_NAME,Ручной дронт,Tamed dodo,
_ITEM_DRONTPETENTITY_DESCRIPTION,Прирученная курица.,Tamed bird,
_ITEM_DRONTGUARDENTITY_NAME,Большой дронт,Big dodo,
_ITEM_DRONTGUARDENTITY_DESCRIPTION,Большая перепуганная курица.,Big scared bird,
_ITEM_DRONTGUARDPETENTITY_NAME,Ручной дронт.,Tamed dodo,
_ITEM_DRONTGUARDPETENTITY_DESCRIPTION,Прирученный боевой питомец.,Tamed combat pet.,
_ITEM_ROBODRONTENTITY_NAME,Робот-дронт.,Mech dodo,
_ITEM_ROBODRONTENTITY_DESCRIPTION,Робот курица. Чего только не увидешь в этой игре.,Mech bird. Not much smarter than the rest of them.,
_ITEM_COLLAR_NAME,Ошейник,Collar,
_ITEM_COLLAR_DESCRIPTION,Красивый ошейник придется по вкусу любому животному.,Animals will like this beautiful collar.,
_ITEM_EGG_NAME,Яйцо,Egg,
_ITEM_EGG_DESCRIPTION,Яйцо дронта. Из него бы вышла прекрасная глазунья.,Dodo egg. Tasty when fried.,
_ITEM_BLACKSKIN_NAME,Черная шкура,Black skin,
_ITEM_BLACKSKIN_DESCRIPTION,Трофей с черного рогача.,A skin of a rare black horned animal.,
_ITEM_RESIN_NAME,Смола,Resin,
_ITEM_RESIN_DESCRIPTION,Смола - очень липкая и тягучая.,Liquid natural resin. One can make rubber of it.,
_ITEM_SCROLL_IRONMECH_NAME,"Свиток ""Железный голиаф""",Iron goliath scroll,
_ITEM_SCROLLIRONMECH_DESCRIPTION,Здесь простым языком описаны сложные схемы создания огромного железного робота,Iron Mech scroll,
_ITEM_SCROLL_STONEMECH_NAME,Свиток железного меха,Scroll stone goliath,
_ITEM_SCROLL_STONEMECH_DESCRIPTION,Описание свитка железного меха,Scroll stone goliath description,
_ITEM_COIN_NAME,Монета,Coin,
_ITEM_COIN_DESCRIPTION,"Мелкая монета, с  рогатым президентом на ней.",A coin with a portrait of the horned President.,
_ITEM_METAL_ROD_NAME,Железный стержень,Iron rod,
_ITEM_METAL_ROD_DESCRIPTION,Железный стержень - незаменимая вещь.,An indispensable item.,
_ITEM_STRONG_THREAD_NAME,Прочная нить,Strong thread.,
_ITEM_STRONG_THREAD_DESCRIPTION,Прочная нить. Выдерживает вес 3.5 барсов.,A useful material.,
_ITEM_HOBNAIL_NAME,Гвоздь,Nail,
_ITEM_HOBNAIL_DESCRIPTION,Крепкий и острый гвоздь.,Solid and sharp nail.,
_ITEM_SALTPETER_NAME,Селитра,Nitrate,
_ITEM_SALTPETER_DESCRIPTION,"Селитра, основа для пороха.",The basis for gunpowder.,
_ITEM_GUNPOWDER_NAME,Порох,Gunpowder,
_ITEM_GUNPOWDER_DESCRIPTION,Порох. Он выглядит обманчиво безобидным.,Looks deceptively harmless.,
_ITEM_BOMB_NAME,Бомба,Bomb,
_ITEM_BOMB_DESCRIPTION,Разрушительная мощь под моим управлением!,"A small, but highly destructive object.",
_ITEM_FRAG_NAME,Осколочная граната,Frag,
_ITEM_FRAG_DESCRIPTION,Описание осколочной гранаты,Frag description,
_ITEM_STUN_GRENADE_NAME,Огрушаяющая граната,Stun grenade,
_ITEM_STUN_GRENADE_DESCRIPTION,Описание оглушающей гранаты,Stun grenade description, 
_ITEM_POISON_GRENADE_NAME,Отравляющая граната,Poison grenade,
_ITEM_POISON_GRENADE_DESCRIPTION,Описание отравляющей гранаты,Poison grenade description,
_ITEM_MINE_NAME,Мина,Mortar bomb,
_ITEM_MINE_DESCRIPTION,Взрывной сюрприз для моих врагов.,The most important is always to remember where it is.,
_ITEM_CAST_IRON_NAME,Чугун,Cast iron,
_ITEM_CAST_IRON_DESCRIPTION,"Мой новый сплав железа, я называю это чугуном.",An alloy of iron and coal.,
_ITEM_POISON_STRENGTH_NAME,Зелье силы,Strength Potion,
_ITEM_POISON_STRENGTH_DESCRIPTION,Зелье силы. Настоящие природные стероиды.,The result is impressive!,
_ITEM_POISON_STRENGTH_LITE_NAME,Слабое зелье силы,Small strength potion,
_ITEM_POISON_STRENGTH_LITE_DESCRIPTION,Жалкое подобие настоящего зелья силы. ЭХ!,Pitiful semblance of the strength potions. Meh!,
_ITEM_POISON_SPEED_NAME,Отвар ускорения,Speed up brew,
_ITEM_POISON_SPEED_DESCRIPTION,"Отвар ускорения, у Флеша был такой же.",A mysterious elixir for very fast actions.,
_ITEM_TEETH_NAME,Зубы,Fangs,
_ITEM_TEETH_DESCRIPTION,"Острые клыки хищника, вроде  без кариеса.","Sharp fangs of a predator, no caries detected.",
_ITEM_ADAMANT_NAME,Алмаз,Diamond,
_ITEM_ADAMANT_DESCRIPTION,Алмаз. Подойдет для украшения кольца или создания лазерной пушки.,Perfect for a jewelry ring or a laser gun.,
_ITEM_STEEL_SHEET_NAME,Железный лист,Iron sheet,
_ITEM_STEEL_SHEET_DESCRIPTION,Железный лист. Пять миллиметров железной брони.,Five millimeters of iron armor.,
_ITEM_TOOLBOX_NAME,Ремонтный набор,Repair kit,
_ITEM_TOOLBOX_DESCRIPTION,"Ремонтный набор. Как пластырь или зеленка, но только для роботов.",The first-aid kit for mechs.,
_ITEM_SECONDARY_TOOLBOX_NAME,Средний ремонтный набор.,Medium repair kit,
_ITEM_SECONDARY_TOOLBOX_DESCRIPTION,Средний ремонтный набор. Для роботов прошедших тяжелые битвы.,For Goliaths passed hard battles.,
_ITEM_BIG_TOOLBOX_NAME,Большой ремонтный набор.,Big repair kit,
_ITEM_BIG_TOOLBOX_DESCRIPTION,"Большой ремонтный набор. Как реанимация, только для роботов.",Intensive care for Goliaths.,
_ITEM_BLACK_COAT_NAME,Черная шуба,Black coat,
_ITEM_BLACK_COAT_DESCRIPTION,Черная шуба. Смотрится по королевски.,"Black coat, it is a quest item.",
_ITEM_SILICON_NAME,Кремний,Silicon,
_ITEM_SILICON_DESCRIPTION,Кремний один из основопологающий компонентов для каменных голиафов,Silicon. A very useful thing.,
_ITEM_SMALL_BAG_NAME,Малая сумка,Small bag,
_ITEM_SMALL_BAG_DESCRIPTION,Расширяет инвентарь до 20 ячеек,Expands Inventory to 20 cells,
_ITEM_BIG_BAG_NAME,Большая сумка,Big bag,
_ITEM_BIG_BAG_DESCRIPTION,Расширяет инвентарь до 30 ячеек,Expands Inventory to 30 cells,
_ITEM_WORKBENCH_NAME,Верстак,Crafting table,
_ITEM_WORKBENCH_DESCRIPTION,Деревянный мех и крафт простых вещей,Wooden craft fur and simple things,
_ITEM_CHEST_NAME,Сундук,Chest,
_ITEM_CHEST_DESCRIPTION,Сундук на 15 ячеек,Chest 15 cells,
_ITEM_WOOD_BLOCK_NAME,Деревянная стена,Wooden wall,
_ITEM_WOOD_BLOCK_DESCRIPTION,Стена для обороны базы,Wall to defend the base,
_ITEM_STONE_BLOCK_NAME,Каменный блок,Stone block,
_ITEM_STONE_BLOCK_DESCRIPTION,Если отсечь все лишнее - получится прекрасная скульптура.,If you cut off all the excess - had a magnificent sculpture.,
_ITEM_BIG_CHEST_NAME,Большой сундук,Large chest,
_ITEM_BIG_CHEST_DESCRIPTION,Укреплённый сундук на 30 ячеек,Fortified chest 30 cells,
_ITEM_SMELTERY_NAME,Плавильня,smeltery,
_ITEM_SMELTERY_DESCRIPTION,Железный мех и всякий stuff,Iron fur and just stuff,
_ITEM_SHELL_ENTITY_NAME,Сущность снаряда,The essence of the projectile,
_ITEM_SHELL_ENTITY_DESCRIPTION,Описание сущности снаряда,SUMMARY projectile,
_ITEM_LIFE_ENTITY_NAME,Сущность жизни,The essence of life,
_ITEM_LIFE_ENTITY_DESCRIPTION,Описание сущности жизни,Description of the essence of life,
_ITEM_SPEED_ENTITY_NAME,Сущность движения,The essence of the movement,
_ITEM_SPEED_ENTITY_DESCRIPTION,Описание сущности движения,SUMMARY movement,
_ITEM_BOWLER_NAME,Котелок,Bowler,
_ITEM_BOWLER_DESCRIPTION,Описание котелка,Bowler description,
_ITEM_ELECTRIC_TURRET_NAME,Электрическая турель,Electric turret,
_ITEM_ELECTRIC_TURRET_DESCRIPTION,Девайс. Подходит для обороны базы,Device. Suitable for base defense,
_ITEM_FIRE_TURRET_NAME,Огненная турель,Fire Sentry,
_ITEM_FIRE_TURRET_DESCRIPTION,Девайс. Подходит для обороны базы,Device. Suitable for base defense,
_ITEM_IRON_BLOCK_NAME,Железная стена,The Iron wall,
_ITEM_IRON_BLOCK_DESCRIPTION,Стена для обороны базы,Wall to defend the base,
_ITEM_GUN_TURRET_NAME,Пушка-турель,The gun-turret,
_ITEM_GUN_TURRET_DESCRIPTION,Девайс. Подходит для обороны базы,Device. Suitable for base defense,
_ITEM_JAM_NAME,Ягодный джем,Berry jam,
_ITEM_JAM_DESCRIPTION,Ням-ням!,Works as a mild healing,
_ITEM_FRIED_MUSHROOM_NAME,Жареный гриб,Fried mushrooms,
_ITEM_FRIED_MUSHROOM_DESCRIPTION,Можно сьесть. Обладает лечебными свойствами.,Works as a mild healing,
_ITEM_OMELETTE_NAME,Омлет,Omelette,
_ITEM_OMELETTE_DESCRIPTION,Действует как слабая лечилка,Works as a mild healing,
_ITEM_MECHMAKER_NAME,Сборщик мехов,Fur collector,
_ITEM_MECHMAKER_DESCRIPTION,Каменный мех и сложные предметы,Allows to collect furs,
_ITEM_WOOL_NAME,Шерсть,Wool,
_ITEM_WOOL_DESCRIPTION,"Мягкая, теплая и крепкая. В хозяйстве пригодится","Soft, warm, and sturdy. It would be of much help!",
_ITEM_POWER_CRYSTAL_NAME,Энергетический кристалл,Energy gem,
_ITEM_POWER_CRYSTAL_DESCRIPTION,Энергетический кристалл. Самодельная батарейка.,A handmade battery.,
_ITEM_HORN_NAME,Рог,Horn,
_ITEM_HORN_DESCRIPTION,Острый рог большого быка. Из него можно сделать отличное оружие.,"A sharp horn of a big bull, is used for making weapons.",
_ITEM_EGG_POISON_NAME,Отравленное яйцо,Poisoned egg,
_ITEM_EGG_POISON_DESCRIPTION,Это яйцо будет сюрпризом для лидера Гнарков,This egg will be a surprise for the gnarks’ chief.,
_ITEM_GEAR_NAME,Деревянная шестерня,Wooden gear,
_ITEM_GEAR_DESCRIPTION,Деревянная шестерня. С помощью этой детали можно многое сделать.,A part of a wooden mechanism.,
_ITEM_BRONZEORE_NAME,Бронзовая руда,Bronze ore,
_ITEM_BRONZEORE_DESCRIPTION,"Бронзовая руда, ее можно переплавить в  слиток.",One can make a bronze bar of it.,
_ITEM_BELT_NAME,Ремень,Belt,
_ITEM_BELT_DESCRIPTION,"Ремень прекрасно подойдет, чтобы скрепить что-нибудь. А еще им можно подвязать штаны.",The belt is perfect for fastening anything.,
_ITEM_COPPER_INGOT_NAME,Бронзовый слиток,Bronze bar,
_ITEM_COPPER_INGOT_DESCRIPTION,Бронзовый слиток - незаменимая в хозяйстве вещь.,Perfect for crafting simple metal objects.,
_ITEM_SPIDER_WEB_NAME,Паутина,Spider web,
_ITEM_SPIDER_WEB_DESCRIPTION,"Липкая паутина, добытая с риском для жизни.",Sticky web obtained at the risk of one’s own life.,
_ITEM_STONE_WHEEL_NAME,Каменное колесо,Stone wheel,
