sep=,,
WOODMECH_1_SWORD_NAME,Деревянный меч,Wooden Sword [WOOD]
WOODMECH_2_CLUB_COLD_UNCOMMON_DESCRIPTION,Морозит и замедляет врага с {{frost_effect_chance}}% шансом./n{{damage}} урона холодом. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Be cool! And freeze your enemies to death! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% Stun chance./nCrit {{critical_chance}}%
WOODMECH_2_CLUB_COLD_EXCELLENT_NAME,Превосходная морозная дубина,Amazing Club of Coolness [WOOD]
WOODMECH_2_CLUB_COLD_EXCELLENT_DESCRIPTION,Морозит и замедляет врага с {{frost_effect_chance}}% шансом./n{{damage}} урона холодом. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Be cool! And freeze your enemies to death! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% Stun chance./nCrit {{critical_chance}}%
WOODMECH_2_CLUB_COLD_MYTHICAL_NAME,Мифическая морозная дубина,Mythical Club of Coolness [WOOD]
WOODMECH_2_CLUB_COLD_MYTHICAL_DESCRIPTION,Морозит и замедляет врага с {{frost_effect_chance}}% шансом./n{{damage}} урона холодом. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Be cool! And freeze your enemies to death! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% Stun chance./nCrit {{critical_chance}}%
WOODMECH_2_CLUB_COLD_MAGNIFICENT_NAME,Великолепная морозная дубина,Fabulous Club of Coolness [WOOD]
WOODMECH_2_CLUB_COLD_MAGNIFICENT_DESCRIPTION,Морозит и замедляет врага с {{frost_effect_chance}}% шансом./n{{damage}} урона холодом. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Be cool! And freeze your enemies to death! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% Stun chance./nCrit {{critical_chance}}%
WOODMECH_1_CATAPULT_NAME,Катапульта,Hand Catapult [WOOD]
WOODMECH_1_CATAPULT_DESCRIPTION,Подходит для осады крепостей и стрельбы по воробьям. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Great choice for besieging castles. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_CATAPULT_UNCOMMON_NAME,Улучшенная катапульта,Mighty Hand Catapult [WOOD]
WOODMECH_1_CATAPULT_UNCOMMON_DESCRIPTION,Подходит для осады крепостей и стрельбы по воробьям. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Great choice for besieging castles. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_CATAPULT_EXCELLENT_NAME,Превосходная катапульта,Amazing Hand Catapult [WOOD]
WOODMECH_1_CATAPULT_EXCELLENT_DESCRIPTION,Подходит для осады крепостей и стрельбы по воробьям. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Great choice for besieging castles. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_CATAPULT_MYTHICAL_NAME,Мифическая катапульта,Mythical Hand Catapult [WOOD]
WOODMECH_1_CATAPULT_MYTHICAL_DESCRIPTION,Подходит для осады крепостей и стрельбы по воробьям. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Great choice for besieging castles. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_CATAPULT_MAGNIFICENT_NAME,Великолепная катапульта,Fabulous Hand Catapult [WOOD]
WOODMECH_1_CATAPULT_MAGNIFICENT_DESCRIPTION,Подходит для осады крепостей и стрельбы по воробьям. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Great choice for besieging castles. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_CROSSBOW_NAME,Арбалет,Arbalest [WOOD]
WOODMECH_1_CROSSBOW_DESCRIPTION,Для прицельных выстрелов по коленям искателей приключений /n{{damage}} урона/nШанс крита {{critical_chance}}%,"Take care of your knees, adventurers! /n{{damage}} DMG/nCrit {{critical_chance}}%"
WOODMECH_1_CROSSBOW_UNCOMMON_NAME,Улучшенный арбалет,Mighty Arbalest [WOOD]
WOODMECH_1_CROSSBOW_UNCOMMON_DESCRIPTION,Для прицельных выстрелов по коленям искателей приключений /n{{damage}} урона/nШанс крита {{critical_chance}}%,"Take care of your knees, adventurers! /n{{damage}} DMG/nCrit {{critical_chance}}%"
WOODMECH_1_CROSSBOW_EXCELLENT_NAME,Превосходный арбалет,Amazing Arbalest [WOOD]
WOODMECH_1_CROSSBOW_EXCELLENT_DESCRIPTION,Для прицельных выстрелов по коленям искателей приключений /n{{damage}} урона/nШанс крита {{critical_chance}}%,"Take care of your knees, adventurers! /n{{damage}} DMG/nCrit {{critical_chance}}%"
WOODMECH_1_CROSSBOW_MYTHICAL_NAME,Мифический арбалет,Mythical Arbalest [WOOD]
WOODMECH_1_CROSSBOW_MYTHICAL_DESCRIPTION,Для прицельных выстрелов по коленям искателей приключений /n{{damage}} урона/nШанс крита {{critical_chance}}%,"Take care of your knees, adventurers! /n{{damage}} DMG/nCrit {{critical_chance}}%"
WOODMECH_1_CROSSBOW_MAGNIFICENT_NAME,Великолепный арбалет,Fabulous Arbalest [WOOD]
WOODMECH_1_CROSSBOW_MAGNIFICENT_DESCRIPTION,Для прицельных выстрелов по коленям искателей приключений /n{{damage}} урона/nШанс крита {{critical_chance}}%,"Take care of your knees, adventurers! /n{{damage}} DMG/nCrit {{critical_chance}}%"
WOODMECH_1_PIXELSWORD_NAME,Нереальный меч,Pretty Familiar Pixel Sword [WOOD]
WOODMECH_1_PIXELSWORD_DESCRIPTION,Особо эффективен против пиксельных врагов./nШанс крита {{critical_chance}}%,Unbelievably effective against the pixel enemies./nCrit {{critical_chance}}%
WOODMECH_1_CACTUSWEAPON_NAME,Легендарная дубина из кактуса,Legendary Spiked Cactus Club [WOOD]
WOODMECH_1_CACTUSWEAPON_DESCRIPTION,{{damage}} урона физикой и кислотой. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Most deadly cactus in the world./n{{damage}} physical and acid DMG. {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
STONEMECH_1_AXE_NAME,Каменная секира,Barbarian Axe [STONE]
STONEMECH_1_AXE_DESCRIPTION,Такая есть только у меня и у Вонана Карвара./n{{damage}} урона. Сильным ударом оглушает противников./nШанс крита {{critical_chance}}%,Choice of the mightiest warriors. Can split everything../n{{damage}} DMG. Strong attack can stun enemies./nCrit {{critical_chance}}%
STONEMECH_1_AXE_UNCOMMON_NAME,Улучшенная каменная секира,Mighty Barbarian Axe [STONE]
STONEMECH_1_AXE_UNCOMMON_DESCRIPTION,Такая есть только у меня и у Вонана Карвара/n{{damage}} урона. Сильным ударом оглушает противников./nШанс крита {{critical_chance}}%,Choice of the mightiest warriors. Can split everything../n{{damage}} DMG. Strong attack can stun enemies./nCrit {{critical_chance}}%
STONEMECH_1_AXE_EXCELLENT_NAME,Превосходная каменная секира,Amazing Barbarian Axe [STONE]
STONEMECH_1_AXE_EXCELLENT_DESCRIPTION,Такая есть только у меня и у Вонана Карвара./n{{damage}} урона. Сильным ударом оглушает противников./nШанс крита {{critical_chance}}%,Choice of the mightiest warriors. Can split everything../n{{damage}} DMG. Strong attack can stun enemies./nCrit {{critical_chance}}%
STONEMECH_1_AXE_MYTHICAL_NAME,Мифическая каменная секира,Mythical Barbarian Axe [STONE]
STONEMECH_1_AXE_MYTHICAL_DESCRIPTION,Такая есть только у меня и у Вонана Карвара./n{{damage}} урона. Сильным ударом оглушает противников./nШанс крита {{critical_chance}}%,Choice of the mightiest warriors. Can split everything../n{{damage}} DMG. Strong attack can stun enemies./nCrit {{critical_chance}}%
STONEMECH_1_AXE_MAGNIFICENT_NAME,Великолепная каменная секира,Fabulous Barbarian Axe [STONE]
STONEMECH_1_AXE_MAGNIFICENT_DESCRIPTION,Такая есть только у меня и у Вонана Карвара./n{{damage}} урона. Сильным ударом оглушает противников./nШанс крита {{critical_chance}}%,Choice of the mightiest warriors. Can split everything../n{{damage}} DMG. Strong attack can stun enemies./nCrit {{critical_chance}}%
STONEMECH_1_GUN_NAME,Пушка,Cannon [STONE]
STONEMECH_1_GUN_DESCRIPTION,"Настоящее ""ядерное"" оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Autenthic medieval cannon, the most important part of the pirate ship. /n{{damage}} DMG/nCrit {{critical_chance}}%"
STONEMECH_1_GUN_UNCOMMON_NAME,Улучшенная Пушка,Mighty Cannon [STONE]
STONEMECH_1_GUN_UNCOMMON_DESCRIPTION,"Настоящее ""ядерное"" оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Autenthic medieval cannon, the most important part of the pirate ship. /n{{damage}} DMG/nCrit {{critical_chance}}%"
STONEMECH_1_GUN_EXCELLENT_NAME,Превосходная пушка,Amazing Cannon [STONE]
STONEMECH_1_GUN_EXCELLENT_DESCRIPTION,"Настоящее ""ядерное"" оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Autenthic medieval cannon, the most important part of the pirate ship. /n{{damage}} DMG/nCrit {{critical_chance}}%"
STONEMECH_1_GUN_MYTHICAL_NAME,Мифическая пушка,Mythical Cannon [STONE]
STONEMECH_1_GUN_MYTHICAL_DESCRIPTION,"Настоящее ""ядерное"" оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Autenthic medieval cannon, the most important part of the pirate ship. /n{{damage}} DMG/nCrit {{critical_chance}}%"
STONEMECH_1_GUN_MAGNIFICENT_NAME,Великолепная пушка,Fabulous Cannon [STONE]
STONEMECH_1_GUN_MAGNIFICENT_DESCRIPTION,"Настоящее ""ядерное"" оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Autenthic medieval cannon, the most important part of the pirate ship. /n{{damage}} DMG/nCrit {{critical_chance}}%"
STONEMECH_1_MACE2_NAME,Булава,Mace of Pain [STONE]
STONEMECH_1_MACE2_DESCRIPTION,{{damage}} урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,It really hurts. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%
STONEMECH_1_MACE2_UNCOMMON_NAME,Улучшенная булава,Mighty Mace of Pain [STONE]
STONEMECH_1_MACE2_UNCOMMON_DESCRIPTION,{{damage}} урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,It really hurts. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%
STONEMECH_1_MACE2_EXCELLENT_NAME,Превосходная булава,Amazing Mace of Pain [STONE]
STONEMECH_1_MACE2_EXCELLENT_DESCRIPTION,{{damage}} урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,It really hurts. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%
STONEMECH_1_MACE2_MYTHICAL_NAME,Мифическая булава,Mythical Mace of Pain [STONE]
STONEMECH_1_MACE2_MYTHICAL_DESCRIPTION,{{damage}} урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,It really hurts. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%
STONEMECH_1_MACE2_MAGNIFICENT_NAME,Великолепная булава,Fabulous Mace of Pain [STONE]
STONEMECH_1_MACE2_MAGNIFICENT_DESCRIPTION,{{damage}} урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,It really hurts. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%
STONEMECH_2_MACE_COLD_NAME,Ледяная булава,Frozen Mace [STONE]
STONEMECH_2_MACE_COLD_DESCRIPTION,Замораживает противников с вероятностью {{frost_effect_chance}}%./n{{damage}} урона холодом. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Perfect combination of stone and ice. Freeze enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
STONEMECH_2_MACE_COLD_UNCOMMON_NAME,Улучшенная ледяная булава,Mighty Frozen Mace [STONE]
STONEMECH_2_MACE_COLD_UNCOMMON_DESCRIPTION,Замораживает противников с вероятностью {{frost_effect_chance}}%./n{{damage}} урона холодом. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Perfect combination of stone and ice. Freeze enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
STONEMECH_2_MACE_COLD_EXCELLENT_NAME,Превосходная ледяная булава,Amazing Frozen Mace [STONE]
STONEMECH_2_MACE_COLD_EXCELLENT_DESCRIPTION,Замораживает противников с вероятностью {{frost_effect_chance}}%./n{{damage}} урона холодом. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Perfect combination of stone and ice. Freeze enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
STONEMECH_2_MACE_COLD_MYTHICAL_NAME,Мифическая ледяная булава,Mythical Frozen Mace [STONE]
STONEMECH_2_MACE_COLD_MYTHICAL_DESCRIPTION,Ледяная булова замораживает противников с вероятностью {{frost_effect_chance}}%./n{{damage}} урона холодом. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Perfect combination of stone and ice. Freeze enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
STONEMECH_2_MACE_COLD_MAGNIFICENT_NAME,Великолепная ледяная булава,Fabulous Frozen Mace [STONE]
STONEMECH_2_MACE_COLD_MAGNIFICENT_DESCRIPTION,Замораживает противников с вероятностью {{frost_effect_chance}}%./n{{damage}} урона холодом. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,Perfect combination of stone and ice. Freeze enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
STONEMECH_3_MACEFIRE_NAME,Огненная булава,Fiery Mace [STONE]
STONEMECH_3_MACEFIRE_DESCRIPTION,Есть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,"It's BBQ time, guys! /n {{burning_chance}}% Chance to ignite. /n{{damage}} fire DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%"
STONEMECH_3_MACEFIRE_UNCOMMON_NAME,Улучшенная огненная булава,Mighty Fiery Mace [STONE]
STONEMECH_3_MACEFIRE_UNCOMMON_DESCRIPTION,Есть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,"It's BBQ time, guys! /n {{burning_chance}}% Chance to ignite. /n{{damage}} fire DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%"
STONEMECH_3_MACEFIRE_EXCELLENT_NAME,Превосходная огненная булава,Amazing Fiery Mace [STONE]
STONEMECH_3_MACEFIRE_EXCELLENT_DESCRIPTION,Есть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,"It's BBQ time, guys! /n {{burning_chance}}% Chance to ignite. /n{{damage}} fire DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%"
STONEMECH_3_MACEFIRE_MYTHICAL_NAME,Мифическая огненная булава,Mythical Fiery Mace [STONE]
STONEMECH_3_MACEFIRE_MYTHICAL_DESCRIPTION,Есть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,"It's BBQ time, guys! /n {{burning_chance}}% Chance to ignite. /n{{damage}} fire DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%"
STONEMECH_3_MACEFIRE_MAGNIFICENT_NAME,Великолепная огненная булава,Fabulous Fiery Mace [STONE]
STONEMECH_3_MACEFIRE_MAGNIFICENT_DESCRIPTION,Есть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона. {{stun_chance}}% шанс оглушить противников. Сильный удар оглушает врагов с вероятностью 60%/nШанс крита {{critical_chance}}%,"It's BBQ time, guys! /n {{burning_chance}}% Chance to ignite. /n{{damage}} fire DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance/nCrit {{critical_chance}}%"
STONEMECH_1_SWORDBASE_NAME,Каменный меч,Rock Sword [STONE]
STONEMECH_1_SWORDBASE_DESCRIPTION,{{damage}} урона. Сильным ударом оглушает противников с вероятностью {{strongstun_chance}}%./nШанс крита {{critical_chance}}%,It will be a big hit./n{{damage}} DMG. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
