sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
089_smiths_leader_node0,"Ну как успехи на шахте, ...Зик?","Ну как успехи на шахте, ...Зик?"
089_smiths_leader_node1,"Этому не бывать! Мы дадим им 25% от дохода и пусть уходят! Либо мы их вырежем, так им и передай","Этому не бывать! Мы дадим им 25% от дохода и пусть уходят! Либо мы их вырежем, так им и передай"
089_smiths_leader_transition0_1,"Там засели гнарки. У них там захоронения, вы должны прекратить раскопки, иначе они не уйдут","Там засели гнарки. У них там захоронения, вы должны прекратить раскопки, иначе они не уйдут"
089_smiths_leader_transition1_1,"Ок, передам","Ок, передам"
091_start_node0,">bzzt ding< Hello, human. I observed you in the room of Lucifred the Forger. I would have introduced myself to you as I left, but I calculated that it would have been inconvenient for a majority of the beings in the room. Now there is no restriction. My designation is T4LK3R. I am a robo-diplomat.",">bzzt ding< Hello, human. I observed you in the room of Lucifred the Forger. I would have introduced myself to you as I left, but I calculated that it would have been inconvenient for a majority of the beings in the room. Now there is no restriction. My designation is T4LK3R. I am a robo-diplomat."
091_start_node1,">zzt< Lucifred knows much. But he is a fool in most other ways. For many months, I have tried to negotiate trade deals between factions of creatures. Trade keeps everyone happy, which stops wars. This creates peace, which is logical. I have created trade agreements between Gnarks, Golems, and Trolls. These creatures, while primitive and quick to anger, are approximately 71.4 times easier to deal with than Lucifred and the Forgers.",">zzt< Lucifred knows much. But he is a fool in most other ways. For many months, I have tried to negotiate trade deals between factions of creatures. Trade keeps everyone happy, which stops wars. This creates peace, which is logical. I have created trade agreements between Gnarks, Golems, and Trolls. These creatures, while primitive and quick to anger, are approximately 71.4 times easier to deal with than Lucifred and the Forgers."
091_start_node2,">zzrrt< He does not think that I am a worthy diplomat because I am made of metal. Nothing I do will convince hm of this. It goes against my programming, but I am angry, and I wish to quit.",">zzrrt< He does not think that I am a worthy diplomat because I am made of metal. Nothing I do will convince hm of this. It goes against my programming, but I am angry, and I wish to quit."
091_start_node3,">klik ding< If you wish to make an agreement between the Forgers and the three savage tribes, you are welcome to it. I will even sell you a translator so you can make it easier.",">klik ding< If you wish to make an agreement between the Forgers and the three savage tribes, you are welcome to it. I will even sell you a translator so you can make it easier."
091_start_transition0_1,"Ah, nice to meet you. I'm Gromov. I have a quick question. I need to find my way home, off this shard, and off this whole world. Do you think Lucifred the Forger has the ability to do it?","Ah, nice to meet you. I'm Gromov. I have a quick question. I need to find my way home, off this shard, and off this whole world. Do you think Lucifred the Forger has the ability to do it?"
091_start_transition1_1,Really? Why? Lucifred seems like he's always up for a deal.,Really? Why? Lucifred seems like he's always up for a deal.
091_start_transition1_2,"У меня нет таких средств, я скоро вернусь",I dont have so many coins. I'll be back soon.
091_start_transition2_1,"Hold on, hold on! Maybe I can help.","Hold on, hold on! Maybe I can help."
091_start_transition3_1,"A translator, huh? How much?","A translator, huh? How much?"
091_finish_node0,>gzzt< Oh. You found me. I was just about to skip town. It was illogical for me to stay around when the Forgers are such stupid jerks.,>gzzt< Oh. You found me. I was just about to skip town. It was illogical for me to stay around when the Forgers are such stupid jerks.
091_finish_node1,>bzzt< Oh. Very interesting. I didn't know what that word meant. Ohh. That's bad. I've been insulting the Gnarks' mothers for about 5 years.,>bzzt< Oh. Very interesting. I didn't know what that word meant. Ohh. That's bad. I've been insulting the Gnarks' mothers for about 5 years.
091_finish_transition0_1,"Check it out. I can communicate with all the Gnarks, Golems, and Trolls now. In fact, we're all pretty good friends.","Check it out. I can communicate with all the Gnarks, Golems, and Trolls now. In fact, we're all pretty good friends."
091_finish_transition1_1,"Anyway, have a nice trip. Thought you might be interested.","Anyway, have a nice trip. Thought you might be interested."
092_start_node0,Gnark! Gnark Gnark!,Gnark! Gnark Gnark!
092_start_node1,[Gnark enthusiastically jumps up and down] Gnark Gnark!,[Gnark enthusiastically jumps up and down] Gnark Gnark!
092_start_transition0_1,Uh... Do you want me to...? [point at best guess],Uh... Do you want me to...? [point at best guess]
092_start_transition1_1,...What are you doing? Are you taking me somewhere to learn?,...What are you doing? Are you taking me somewhere to learn?
092_gnark_savage_node0,Достаточно слов в твоем переводчике. Ты нас понимаешь,"Now you are able to understand us, fella?"
092_gnark_savage_node1,Вот и хорошо,Good.
092_gnark_savage_transition0_1,"Да, стал понимать","Yes, I started to understand you."
092_gnark_savage_transition1_1,Спасибо,Thanks.
093_start_node0,[the golems hum quietly as you go past],[the golems hum quietly as you go past]
093_start_node1,Hmm hmm humm hrmm Hmm-HM!! [Translator: We golems see you. Stop or else!],Hmm hmm humm hrmm Hmm-HM!! [Translator: We golems see you. Stop or else!]
093_start_transition0_1,"Interesting. They don't do much, do they? I wonder what it would take to wake them up and get them to talk. I need to hear them speak so the translator can pick it up. [pick up smallest stone]","Interesting. They don't do much, do they? I wonder what it would take to wake them up and get them to talk. I need to hear them speak so the translator can pick it up. [pick up smallest stone]"
093_start_transition1_1,"Aha, we're getting somewhere now. They talk when they're provoked. I wonder what they'll say if I grab the rock from this holy looking shrine thing.","Aha, we're getting somewhere now. They talk when they're provoked. I wonder what they'll say if I grab the rock from this holy looking shrine thing."
093_golem_savage_node0,Ну вот чего ты нашу каменюку трогал?,"Well, why did you touch our Holy Rock?"
093_golem_savage_node1,Не надо так больше делать,Don't do that again.
093_golem_savage_transition0_1,Теперь я ваш язык понимаю. Я вас спровоцирвоал,"Now, I understand your language. I've just provoked you."
093_golem_savage_transition1_1,Ок,Ok.
094_start_node0,Dunkle Bort! Za Kroog la Foz Yog. Krob la! [Translator: Troll Ally! In Kroog is Wild Foz. Krob them!],Dunkle Bort! Za Kroog la Foz Yog. Krob la! [Translator: Troll Ally! In Kroog is Wild Foz. Krob them!]
094_start_node1,[troll shrugs and points you toward the lair],[troll shrugs and points you toward the lair]
094_start_transition0_1,Hmm. Dunkle Bort.,Hmm. Dunkle Bort.
094_start_transition1_1,"Somebody in there that you want me to meet, trade with, or kill? It would sure be nice to have a little more information going in...","Somebody in there that you want me to meet, trade with, or kill? It would sure be nice to have a little more information going in..."
094_troll_savage_node0,Oh! What this? Us Trolls now talk with you easy? Very good!,Oh! What this? Us Trolls now talk with you easy? Very good!
094_troll_savage_node1,"Yes. You friend. Now no trolls attack you on you's journey. As long as you no attack us, look at us with funny, or smell bad.","Yes. You friend. Now no trolls attack you on you's journey. As long as you no attack us, look at us with funny, or smell bad."
094_troll_savage_transition0_1,Yes. Me talk good to you. Me Troll Ally.,Yes. Me talk good to you. Me Troll Ally.
094_troll_savage_transition1_1,Me thank you...I think.,Me thank you...I think.
091_start_transition0_3,"Ну что, ты раздобыл деньги?","Well, did you get the money?"
091_start_transition0_4,Пока еще нет,Not yet.
091_start_transition0_5,"Да, держи 5000","Yes, take your 5000."
091_start_transition1_3,"Поздравляю с приобретением. Обрати внимание, переводчику для работы нужен словарный запас. Его нужно наполнить словами, как можно большим числом","Congratulations on your purchase. Pay attention to this - to work properly the translating machine needs vocabulary. It must be filled with words, as many as you manage."
091_start_transition1_4,Что нужно сделать?,What do i need to do?
091_start_transition2_3,"Иди к големам, гнаркам и троллям. Пытайся найти с ними общий язык. Главное, чтобы они говорили тебе слова. Прибор все это воспримет и проанализирует. Так ты научишься их языку","Go to the golems, gnarks and trolls. Try to find a common language with them. The most important - they have to speak with you, give you words. The machine will gather all this and analyze. That's how you will learn their language."
091_start_transition2_4,"Отлично, выдвигаюсь","Great, I get going."
091_return_buy_node0,>gzzt< You are back. Do you have the money now?,>gzzt< You are back. Do you have the money now?
091_return_buy_node1,>ding ding< Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck. You will need it with Lucifred.,>ding ding< Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck. You will need it with Lucifred.
091_return_buy_node2,"Иди к големам, гнаркам и троллям. Пытайся найти с ними общий язык. Главное, чтобы они говорили тебе слова. Прибор все это воспримет и проанализирует. Так ты научишься их языку","Go to the golems, gnarks and trolls. Try to find a common language with them. The most important - they have to speak with you, give you words. The machine will gather all this and analyze. That's how you will learn their language."
091_return_buy_transition0_1,"Sheesh, I forgot!","Sheesh, I forgot!"
091_return_buy_transition0_2,"Yep, here you go, 1000 gold.","Yep, here you go, 1000 gold."
091_return_buy_transition1_1,All right. This should be interesting.,All right. This should be interesting.
091_return_buy_transition2_1,"Отлично, выдвигаюсь","Great, I get going."
094_troll_kill_south_node0,Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!],Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!]
094_troll_kill_south_node1,[troll cheers],[troll cheers]
094_troll_kill_south_transition0_1,Krob la Foz Yog! [Smash the Wild Monsters!],Krob la Foz Yog! [Smash the Wild Monsters!]
094_troll_kill_south_transition1_1,YEAH! TROLLS!,YEAH! TROLLS!
094_troll_kill_north_node0,Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!],Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!]
094_troll_kill_north_node1,[troll pats you on the back],[troll pats you on the back]
094_troll_kill_north_transition0_1,Um... Bork? [Translator: Interesting?],Um... Bork? [Translator: Interesting?]
094_troll_kill_north_transition1_1,I think that's right.,I think that's right.
094_troll_kill_east_node0,Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!],Bork! Dunkle Bort bos Krob la Foz Yog! [Translator: Bork! Troll Bort has Krob the Foz Monsters!]
094_troll_kill_east_node1,[troll offers you a hug],[troll offers you a hug]
094_troll_kill_east_transition0_1,Dunkle Bort. [Translator: Troll Ally],Dunkle Bort. [Translator: Troll Ally]
094_troll_kill_east_transition1_1,Cool. You guys are all right.,Cool. You guys are all right.
092_after_fight_1_node0,Gnark Gnark!,Gnark Gnark!
092_after_fight_1_transition0_1,"Hmm, I guess Gnarks teach through combat?","Hmm, I guess Gnarks teach through combat?"
092_after_fight_2_node0,Gnark Gnark! Gnark!! [Translator: Gnark Your Mother! Gnark!!],Gnark Gnark! Gnark!! [Translator: Gnark Your Mother! Gnark!!]
092_after_fight_2_transition0_1,Whew! Tough lesson. The translator appear to be picking this up now.,Whew! Tough lesson. The translator appear to be picking this up now.
092_finish_node0,Human!! Can you Gnark us now?,Human!! Can you Gnark us now?
092_finish_node1,That's just Gnark! I gnarked you would gnark it sooner or later! You did a really gnark job gnarking those missions.,That's just Gnark! I gnarked you would gnark it sooner or later! You did a really gnark job gnarking those missions.
092_finish_transition0_1,"Oh! Uh, yeah, I can ...gnark... you... pretty well, I guess.","Oh! Uh, yeah, I can ...gnark... you... pretty well, I guess."
092_finish_transition1_1,"Umm... Well, gnark you very much.","Umm... Well, gnark you very much."
093_finish_node0,Hmm-hmm. You talk to Golems now. Give back Hmm-Hm.,Hmm-hmm. You talk to Golems now. Give back Hmm-Hm.
093_finish_node1,"Нmm-hm. You humans say ""stone."" We golems say ""child.""","Нmm-hm. You humans say ""stone."" We golems say ""child."""
093_finish_transition0_1,Hmm-Hm? What's that?,Hmm-Hm? What's that?
093_finish_transition1_1,Oh! Oh my goodness. Here you go. Sorry!,Oh! Oh my goodness. Here you go. Sorry!
095_start_node0,"Ahh, here you are again, Young Human. I know you have traveled much of this world. You seem like a sharp chap. Tell me, do you know the language of the Trolls?","Ahh, here you are again, Young Human. I know you have traveled much of this world. You seem like a sharp chap. Tell me, do you know the language of the Trolls?"
095_start_node1,"I know much, but the Trolls and their ways are a mystery to me. We know they are useful in trade, but when we sent out our trade negotiator, he never came back. Perhaps as a favor to us, you may go and investigate this disappearance. I would be very grateful.","I know much, but the Trolls and their ways are a mystery to me. We know they are useful in trade, but when we sent out our trade negotiator, he never came back. Perhaps as a favor to us, you may go and investigate this disappearance. I would be very grateful."
095_start_transition0_1,"As a matter of fact, I do.","As a matter of fact, I do."
095_start_transition1_1,Very well.,Very well.
095_troll_guard_1_node0,Who be you? Make-talk to prisoner not let-happen! You go far away!,Who be you? Make-talk to prisoner not let-happen! You go far away!
095_troll_guard_1_node1,Him dig under-ground in camp! Take shiny bars away from Trolls! Very greedy! Smell like you's suit!,Him dig under-ground in camp! Take shiny bars away from Trolls! Very greedy! Smell like you's suit!
095_troll_guard_1_transition0_1,"Okay, okay, hold on. Me here to solve problem. Who is prisoner, and what him done?","Okay, okay, hold on. Me here to solve problem. Who is prisoner, and what him done?"
095_troll_guard_1_transition1_1,Him smell like MY suit? Like ...motor oil?,Him smell like MY suit? Like ...motor oil?
095_troll_guard_2_node0,You! Why you back?,You! Why you back?
095_troll_guard_2_node1,What? So now we has to free prisoner? And we has to say him sorry? Uuugghh. Us hate to do both those things! But okay.,What? So now we has to free prisoner? And we has to say him sorry? Uuugghh. Us hate to do both those things! But okay.
095_troll_guard_2_transition0_1,"Me figure out what real problem is! It not prisoner who steal shiny bars. It Robots. But me strong, and smart, and send them away!","Me figure out what real problem is! It not prisoner who steal shiny bars. It Robots. But me strong, and smart, and send them away!"
095_troll_guard_2_transition1_1,"Me thank you, Troll Friend.","Me thank you, Troll Friend."
096_start_node0,"YARR! What be this, a Pretend Robot? It walk like a robot yet have the heart of a person. MAKE UP YER MIND, says I! What be your business here?","YARR! What be this, a Pretend Robot? It walk like a robot yet have the heart of a person. MAKE UP YER MIND, says I! What be your business here?"
096_start_node1,PAH! I may as well say that all the cows need ye to stop eating them! What care I what dumb savages think or don't think?,PAH! I may as well say that all the cows need ye to stop eating them! What care I what dumb savages think or don't think?
096_start_transition0_1,"Captain, I've figured out that it is your crew who is stealing scrap metal from the Trolls. They need you to stop doing that.","Captain, I've figured out that it is your crew who is stealing scrap metal from the Trolls. They need you to stop doing that."
096_start_transition1_1,"Now listen, if you would bother to learn some of the Trolls' language, you would know","Now listen, if you would bother to learn some of the Trolls' language, you would know"
096_finish_node0,"ARR! Ye return, Pretend Robot! Have ye found a scrap-hunting world for me and me crew?","ARR! Ye return, Pretend Robot! Have ye found a scrap-hunting world for me and me crew?"
096_finish_node1,"Arr, ye be a rare one, Pretend Robot. Flag us down next time ye see our ship, and we shall help ye as best we can!","Arr, ye be a rare one, Pretend Robot. Flag us down next time ye see our ship, and we shall help ye as best we can!"
096_finish_transition0_1,Whew! I did! I've cleared the land of the Ice Golems and the Snow Leopards. You can get scrap metal there to your heart's content!,Whew! I did! I've cleared the land of the Ice Golems and the Snow Leopards. You can get scrap metal there to your heart's content!
096_finish_transition1_1,Will do!,Will do!
095_free_trader_node0,"Спасибо, что освободил меня",You set me free. Many thanks!
095_free_trader_node1,"Это Вилли, вот его примерные координаты","Like two drops! His name is Willy. He lives in a small town. You can just ask, everybody knows him. He's a Sheriff!"
095_free_trader_transition0_1,"Что за человек, похожий на меня?","So, you know a man who looks like me?"
095_free_trader_transition1_1,"Спасибо, пойду туда","Thanks, I'll go there."
097_start_node0,Я - лидер пиратов. Кто ты и чего хочешь?,"I'm the pirate captain, boy. What is your business?"
097_start_node1,"Просто так ты не получишь карту. Сначала помоги нам. Узнай, что случилось с нашим собратом-роботом, первым помощником","Everything have a price, right? Find out what happened to my fella Ben, the first assistant. And then we talk about your map."
097_start_transition0_1,Мне нужна карта,I need the map.
097_start_transition1_1,"Ок, сейчас же выдвигаюсь","Well, I'll hit the road."
097_finish_node0,Ты выяснил судьбу первого помощника? Задание выполнено?,So the mission complete? Have you find my assistant?
097_finish_node1,Отлично. Я очень благодарен тебе за помощь,"Don't worry. I'll tell you where to find the Great Treasure Hunter. He is definately have this map, I'm sure. It's not easy to find him, but we are friends, so I can help you."
097_finish_transition0_1,"Да, он был пленен, но теперь на свободе","Yes, he was captured, but now is free. Give me a map, as we agreed."
097_finish_transition1_1,Вот как хорошо,Great.
098_start_node0,"Тебе надо найти лидера пиратов. У него есть карта, которая поможет тебе","You need to find a pirate captain. THey are robots, right? So surely they know how to find their metal fellas."
098_start_node1,"Давай, выдвигайся тогда",Have a good trip!
098_start_transition0_1,"Ок, понял",Ok. I've got it.
098_start_transition1_1,"Ага, я пошел к пиратам","Thank you, let's find this pirates."
100_start_node0,Я Великий Кладоискатель. Чего тебе?,I'm the Great Treasure Hunter. Why are you bothering me?
100_start_node1,"Сейчас я тебя размозжу, букашка","I have all maps of the world. And I will bury you, little thing!"
100_start_transition0_1,"Давай ка мне карту,  да поживей","I need to find the Created. And you have a proper map, right?"
100_start_transition1_1,"Сейчас посмотрим, кто кого","Let's see, monster!"
099_start_node0,К сожалению карты у меня нет,"Erm, to be honest I don't have this map."
099_start_node1,"Не печалься, взамен этого я тебе скажу где искать Великого Кладоискателя. У него есть эта карта. Вот координаты, иди к нему","Don't worry. I'll tell you where to find the Great Treasure Hunter. He is definately have this map, I'm sure. It's not easy to find him, but we are friends, and I can help."
099_start_transition0_1,И что дальше?,What next?
099_start_transition1_1,Выдвигаюсь к Великому Кладоискателю,I'm going to find this Great Treasure Hunter.
100_speak_after_fight_node0,Об одном сожалею. За все мои труды никто меня никогда не благодарил,I have one regret. In all my works I was never thanked.
100_speak_after_fight_node1,Спасибо за это,Thank you for all.
100_speak_after_fight_transition0_1,"Хм, спасибо тебе! Вот я поблагодарил только что",And thank you!
100_speak_after_fight_transition0_2,*Просто уйти*,*Leave*
100_speak_after_fight_transition1_1,"Ага, карта теперь моя!",Now this map is mine!
101_start_node0,"Stone Pants, you have done a wonderful job for us! Smart, resourceful, quick-witted, strong, and brave. I salute you. Now it is time for me to pay you back, and tell you how to get back to your home.","Stone Pants, you have done a wonderful job for us! Smart, resourceful, quick-witted, strong, and brave. I salute you. Now it is time for me to pay you back, and tell you how to get back to your home."
101_start_node1,"Ah! Right! Well, the truth is that I don't know where any of that stuff is. But I do know of a creature called the Collector. He knows many things; perhaps he will know of the place you are looking for.","Ah! Right! Well, the truth is that I don't know where any of that stuff is. But I do know of a creature called the Collector. He knows many things; perhaps he will know of the place you are looking for."
101_start_transition0_1,"Fantastic. This has been a lot of work, so I'm happy to be able to be finished now. Where is it?","Fantastic. This has been a lot of work, so I'm happy to be able to be finished now. Where is it?"
101_start_transition1_1,"A-are you kidding me? After doing all that work for you and for the rats, and ... and... You're telling me that I need to go find someone ELSE who MIGHT know something about it???","A-are you kidding me? After doing all that work for you and for the rats, and ... and... You're telling me that I need to go find someone ELSE who MIGHT know something about it???"
087_start_node0,"Ahh, welcome, traveler. I see you and I are both strangers in this land. The difference, of course, is that I know much and you know little. So this is our friendship, then: you come to me for knowledge, and I will ask for riches in return. What do you wish, friend?","Ahh, welcome, traveler. I see you and I are both strangers in this land. The difference, of course, is that I know much and you know little. So this is our friendship, then: you come to me for knowledge, and I will ask for riches in return. What do you wish, friend?"
087_start_node1,"Yes, well, nothing is free, my young friend. I look at your marvelous battle suits you have created, and it occurs to me: a certain item I thought was impossible to acquire may not be so impossible after all. Deep within the Earth sits The Stone of Omnipotence, a very valuable stone to the right people. I sent someone like you to find it-- as I recall, he was wanting to get to his home as well -- but he never came back. What happened to him, I cannot say. But you may have different luck.","Yes, well, nothing is free, my young friend. I look at your marvelous battle suits you have created, and it occurs to me: a certain item I thought was impossible to acquire may not be so impossible after all. Deep within the Earth sits The Stone of Omnipotence, a very valuable stone to the right people. I sent someone like you to find it-- as I recall, he was wanting to get to his home as well -- but he never came back. What happened to him, I cannot say. But you may have different luck."
087_start_transition0_1,"I've worked really hard to get here. I crashed my plane, I built these battle suits, I solved problems for two different factions. Please, I have a friend who's lost, and I'm just trying to get back home. To my REAL home, on Earth.","I've worked really hard to get here. I crashed my plane, I built these battle suits, I solved problems for two different factions. Please, I have a friend who's lost, and I'm just trying to get back home. To my REAL home, on Earth."
087_start_transition0_2,Wait here,Wait here
087_start_transition1_1,"Okay. I will do what I need to do to get that for you, but doesn't anyone just offer information for free around here?","Okay. I will do what I need to do to get that for you, but doesn't anyone just offer information for free around here?"
087_finish_node0,"My young friend Mr. Gromov! You're back! Ex-cellent! And is that the Stone of Ominpotence I see in your robotic hands? My, my, aren't you resourceful?","My young friend Mr. Gromov! You're back! Ex-cellent! And is that the Stone of Ominpotence I see in your robotic hands? My, my, aren't you resourceful?"
087_finish_node1,"One moment: I see you're back too, Philip. It seems you've screwed this mission up too. Typical. You're fired, by the way. Get out of my office. Now, Mr. Gromov, what were you saying?","One moment: I see you're back too, Philip. It seems you've screwed this mission up too. Typical. You're fired, by the way. Get out of my office. Now, Mr. Gromov, what were you saying?"
087_finish_transition0_1,"Yes, thanks. I should tell you","Yes, thanks. I should tell you"
087_finish_transition1_1,"Uh, yeah, the Stone's dangerous. If you touch it, it will turn you into a terrifying creature. So please be careful.","Uh, yeah, the Stone's dangerous. If you touch it, it will turn you into a terrifying creature. So please be careful."
102_start_node0,"Here is what you came for: a map to take you to my countrymen, the Forgers. I am sure they can help you find your friend and get home.","Here is what you came for: a map to take you to my countrymen, the Forgers. I am sure they can help you find your friend and get home."
102_start_node1,Держи координаты,Держи координаты
102_start_transition0_1,"At this point, I'm not even surprised that you're just giving me more to do. Thanks.","At this point, I'm not even surprised that you're just giving me more to do. Thanks."
102_start_transition1_1,"Записал, иду к Кузнецам","Записал, иду к Кузнецам"
IC_002_start_node0,>skkssskk< Gromov? You there? I've heard some rumors about the world you're on. It sounds like the >skkssk< folks who could help you the most are the Forest Brotherhood. >kssks<,>skkssskk< Gromov? You there? I've heard some rumors about the world you're on. It sounds like the >skkssk< folks who could help you the most are the Forest Brotherhood. >kssks<
