sep=,,
;Notifications,,
_NARRATIVE_INVENTORY_FULL,Инвентарь полон!,Inventory full!
_SUPERHERO_HANDS_TASK,Взорвать {1} мин за {T} секунд,Blow up {1} min {T} for seconds
_SUPERHERO_LEGS_TASK,"Дать рогачу снести {1} деревьев за {T} секунд, убегая от него","Give Rogachev carry {1} of the trees {T} seconds, running away from him"
; Constructor UI,,
_MECH_MAKER_HEAD,Сборщик Мехов,Mechs engineer
_MECH_MAKER_NAME,Мех в сборке,GOLIATH PARTS TO BE ASSEMBLED
_MECH_MAKER_SELECT_TYPE,Тип запчасти,Parts type
_MECH_MAKER_COST_INFO,Общая стоимость,TOTAL COST FOR THIS GOLIATH
_MECH_MAKER_SELECT_INFO_HEADER,Описание запчасти,Part description
_MECH_MAKER_SELECT_COST_HEADER,Стоимость запчасти,Part price
_GARAGE_IN_GARAGE,В гараже,In the garage
_GARAGE_IN_SLOT,С собой,Travels with Zac
_GARAGE_EMPTY_SLOT,Пустой слот,Empty slot
_MECH_GARAGE_HEAD,Стоянка мехов,Parking of mechs
_GARAGE_DESTROY_MECH,Разобрать,Disassemble
;Menu,,
_MENU_MECHMAKER,Новый голиаф,New Goliath
_MENU_REPAIR,Ремонт голиафа,Goliath repair
_MENU_REPAIRING,Отремонтировать,Repair
_MENU_NOTHING_TO_REPAIR,Нечего ремонтировать,Nothing to repair
_MENU_TAKEALL,Взять все,TAKE ALL
_MENU_CLOSE,Закрыть,CLOSE
_MENU_DROP,Выкинуть,DROP
_MENU_CANCEL,Отмена,CANCEL
_MENU_MENU,Действия,ACTIONS
_MENU_DRAG,Тянуть,DRAG
_MENU_EQUIP,Одеть,EQUIP
_MENU_UNEQUIP,Снять,UNEQUIP
_MENU_TASKS,ЭКСПЕРИМЕНТЫ,EXPERIMENTS
_MENU_OK,ОК,OK
_MENU_TAKE,Взять,TAKE
_MENU_MOVE_TO_CHEST,Положить в сундук,DROP TO CHEST
_MENU_CHEST,Сундук,CHEST
_MENU_MOVE,Переместить,MOVE
_MENU_ZOOM,Приблизить,ZOOM
_MENU_CENTER_HERO,Центр,CENTER
_MENU_NAVIGATION,Навигация,NAVIGATION
_MENU_BUILD_CAMP,Лагерь,CAMP
_MENU_JOURNAL,Журнал,JOURNAL
_MENU_INVENTORY,Инвентарь,INVENTORY
_MENU_MAP,Карта,MAP
_MENU_CAMP,Лагерь,CAMP
_MENU_CRAFT,CRAFT,Craft
_MENU_BONFIRE,Костер,BONFIRE
_TASKS,Задачи,Tasks
_UNLOCKED_TASK,Разблокировано,Unlocked
_TRACK,Tracked,Tracked
;,,
_PAUSE_MENU_HEADER,Пауза,Pause
_PAUSE_CONTINUE,Продолжить,Continue
_PAUSE_OPTIONS,Опции,Options
_PAUSE_CLOSE,Выход,Exit
_OPTIONS_C_GAME,Игра,Sound
_OPTIONS_C_VIDEO,Видео,Video
_OPTIONS_TAB_GAME,Игра,Sound
_OPTIONS_TAB_VIDEO,Видео,Video
_OPTION_RESOLUTION,Разрешение экрана,Screen Resolution
_OPTION_FULLSCREEN,Полноэкранный режим,Full Screen
_OPTION_QUALITY,Качество графики,Graphics Quality
_SFX_VOLUME,Громкость эффектов,Effects Volume
_COMMON_VOLUME,Общая громкость звука,Master Volume
_AMBIENT_VOLUME,Громкость фоновых звуков,Ambient Volume
_MUSIC_VOLUME,Громкость музыки,Music Volume
_OPTION_Q_LOWEST,Очень низкое,Lowest
_OPTION_Q_LOW,Низкое,Low
_OPTION_Q_NORMAL,Нормальное,Normal
_OPTION_Q_HIGH,Высокое,High
_OPTION_Q_ULTRA,Очень высокое,Ultra
_OPTION_ON,Включено,On
_OPTION_OFF,Выключено,Off
_MENU_APPLY_OPTIONS,Применить изменения,Apply Changes
_MENU_DISCARD_OPTIONS,Отменить изменения,Discard Changes
_MENU_CLOSE_OPTIONS,Закрыть окно,Close
_MENU_EQUIP_GADGET_0,Назначить гаджетом 0,Equip in Gadget slot 0
_MENU_EQUIP_GADGET_1,Назначить гаджетом 1,Equip in Gadget slot 1
_MENU_EQUIP_GADGET_2,Назначить гаджетом 2,Equip in Gadget slot 2
_MENU_EQUIP_GADGET_3,Назначить гаджетом 3,Equip in Gadget slot 3
_GADGET_CAN_NOT_USED_CHARACTED,Нельзя использовать сейчас,Cannot be used right now
_MENU_GADGET_USE,Использовать,Use
_DRINK_ELIXIR,Выпить,Drink
_MENU_WEAPON_REPAIR,Починить,Repair
_WORLD_YOU_ARE_HERE,Ты здесь,You are here!
_MENU_BUILD,Построить,Build
_MENU_EXCHANGE,Торговать,TRADE?
_NOTHING_INTERESTING,Ничего интересного,Nothing interesting
_MAP_CLOSE,Закрыть окно,CLOSE
_MAP_TRAVEL,Путешествовать,TRAVEL
_NARRATIVE_MONEY_ADDED,Деньги,Money
_MENU_MECHCRAFT,СОЗДАТЬ ГОЛИАФА,CRAFT GOLIATH
_MENU_BUY_ONE,Купить,Buy one
_MENU_BUY_ALL,Купить все,Buy all
_NEW_GAME_WARNING,"Предупреждение! Запуск новой игры будет удалить предыдущую сохранить данные игры. Вы уверены, что вы хотите, чтобы начать новую игру?",Warning! Starting a new game will delete the previous save game data. Are you sure you would like to start a new game?
_NEW_GAME_YES,да,Yes
_NEW_GAME_NO,Нет,No
_GARAGE_REQUIRE_GOLIATH,Оборудованный Голиаф Обязательный,Equipped Goliath Required
_GARAGE_NO_SLOT,Оборудованный Голиаф Обязательный,Equipped Goliath Required
_GARAGE_EQUIPPED,Голиаф был получен!,Goliath has been retrieved!
_GARAGE_STORED,Голиаф был сохранен!,Goliath has been stored!
_GARAGE_EXCHANGE,Обмен Голиаф завершена!,Goliath exchange complete!
_HERO_INVISIBLE,Герой невидимая,Hero invisible
_MENU_SELL_ONE,Продаем один,Sell one
_MENU_SELL_ALL,Продать все,Sell all
_MECHMAKER_NO_SLOT,Свободное Голиаф Слот меню требуется!,Free Goliath Menu Slot required!
